fid,y,x,tree_id,species,health,notes
454,42.47460874,-76.48588694,454,Japanese Red Maple,4,
455,42.47471084,-76.48589463,455,Apple,4,Pellar
456,42.47469156,-76.48601152,456,Blue Spruce,3,
457,42.47474147,-76.48605766,457,Serviceberry,4,
458,42.47467454,-76.48611457,458,Blue Spruce,1,
459,42.47462009,-76.48605305,459,White Spruce,3,
460,42.47461215,-76.4861361,460,White Spruce,2,
461,42.47457672,-76.48628976,461,Japanese Red Maple,5,
462,42.47440582,-76.48612631,462,Dogwood,5,Flowering
463,42.47431335,-76.48605172,463,Crabapple,3,
464,42.47433875,-76.48596384,464,Eastern Red Cedar,4,
465,42.47440001,-76.48588848,465,Crabapple,4,Siberian
466,42.47402565,-76.48584695,466,Norway Spruce,3,
467,42.47412829,-76.48597072,467,White Birch,2,
468,42.47412856,-76.48609276,468,Crabapple,3,
469,42.47406354,-76.48610188,469,Viburnum,4,
470,42.47403635,-76.48606421,470,Common Lilac,3,
471,42.47397564,-76.48605018,471,Gray Birch,4,
472,42.47395279,-76.48599102,472,White Fir,5,
473,42.47390231,-76.4861269,473,Viburnum,4,
474,42.47393178,-76.4862168,474,White Spruce,4,
475,42.47394099,-76.48625924,475,Hawthorn,3,Cockspur
476,42.4739712,-76.48629298,476,Lilac,5,
477,42.47403359,-76.48629913,477,Japanese Red Maple,4,
478,42.47410733,-76.48636988,478,Hawthorn,5,Cockspur
479,42.47424686,-76.48624684,479,Crabapple,4,
480,42.47423665,-76.48631143,480,Crabapple,5,
481,42.47427426,-76.48652891,481,Crabapple,2,
482,42.47425676,-76.48658001,482,Ninebark,3,Bush
483,42.4742433,-76.48662016,483,Crabapple,1,
484,42.47413342,-76.48658674,484,Hawthorn,5,Cockspur
485,42.47403466,-76.48652344,485,Japanese Red Maple,5,
486,42.47400637,-76.48644678,486,Hawthorn,5,Cockspur
487,42.47393438,-76.48639539,487,Dogwood,5,Roughwood
488,42.47386775,-76.48635372,488,Crabapple,3,
489,42.47370461,-76.48637449,489,Norway Spruce,4,
490,42.47380671,-76.48660212,490,Crabapple,3,
491,42.47383847,-76.48667902,491,Hawthorn,5,Cockspur
492,42.47395078,-76.48665442,492,Apple,5,
493,42.47408805,-76.48669902,493,Crabapple,3,
494,42.4740075,-76.48684206,494,Redbud,5,
495,42.47420292,-76.48684828,495,Mulberry,4,
496,42.47422042,-76.48686836,496,Japanese Red Maple,5,
497,42.47432406,-76.48693953,497,Juniper,3,
498,42.47450778,-76.48673901,498,Seven Son's Tree,2,
499,42.47467681,-76.48686205,499,Plum,4,Cherry. Need to check this tree
500,42.47472672,-76.4868113,500,Hawthorn,5,Cockspur
501,42.47472054,-76.48672999,501,Crabapple,3,
502,42.47469723,-76.48667287,502,Plum,3,Cherry. Need to check this tree
503,42.47474828,-76.48662981,503,Japanese Lilac Tree,5,
504,42.47477664,-76.48650369,504,Hawthorn,5,Cockspur
505,42.47481861,-76.48644832,505,Hawthorn,5,Cockspur
506,42.4748447,-76.48631759,506,Cornelian Cherry,4,
507,42.47488214,-76.48625145,507,Cornelian Cherry,4,
508,42.47492638,-76.48615148,508,Cornelian Cherry,5,
509,42.4750852,-76.48628375,509,Red Maple,5,
510,42.47505568,-76.48633603,510,White Pine,5,
511,42.47503188,-76.48646216,511,Plum,2,Cherry. Need to check this tree. Also diseased
512,42.4749434,-76.48663288,512,Serviceberry,2,
513,42.47493319,-76.48675746,513,Magnolia,5,Star
514,42.4748776,-76.48690973,514,Red Maple,4,
515,42.47487193,-76.48716043,515,Crabapple,3,
516,42.47485378,-76.48722503,516,Crabapple,3,
517,42.47487874,-76.48740498,517,Crabapple,4,Sprayed
518,42.47486285,-76.48756339,518,Cornelian Cherry,4,
519,42.4748776,-76.48767106,519,Cherry Plum,5,
520,42.47487385,-76.48769675,520,Dogwood,0,
521,42.47495928,-76.48787561,521,Plum,4,Cherry. Need to check this tree
522,42.47486626,-76.48793406,522,Hawthorn,3,Cockspur
523,42.47497743,-76.48801865,523,American Sycamore,3,
524,42.47498537,-76.48811862,524,Japanese Lilac Tree,4,
525,42.47488441,-76.48829088,525,Redbud,5,
526,42.47497516,-76.48830934,526,Japanese Lilac Tree,4,
527,42.47492298,-76.48839239,527,Crabapple,3,
528,42.47492611,-76.48842592,528,Japanese Cherry,2,
529,42.47484017,-76.48839239,529,Japanese Cherry,2,
530,42.47482088,-76.48847698,530,Burning Bush,1,
531,42.47486285,-76.48861695,531,Red Maple,4,
532,42.47485491,-76.48868462,532,Amur Maple,5,
533,42.47483336,-76.48883227,533,Bradford Pear,5,
534,42.47488668,-76.48892455,534,Bradford Pear,3,
535,42.47457244,-76.48894608,535,Japanese Cherry,4,
536,42.47453954,-76.48893839,536,Cornelian Cherry,5,
537,42.47454522,-76.48901683,537,Japanese Cherry,4,
538,42.47447602,-76.48904759,538,Cornelian Cherry,4,
539,42.47426502,-76.48889225,539,Crabapple,5,
540,42.47410052,-76.48877536,540,Crabapple,4,
